Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.00013318178,-2.6343005e-05,-0.00020870756,6.7915775e-05,152.55594809339954,32,213.31819185350423,152.55594809339954,114.84965347678205,23.108942491983388,1.4614733213663587,0.9814616684738209,0.6589716607632117,0.07613483558596106,32,4974,208,155.4375,126,18.248180559990082,0.9975945,0.011842074,-0.99828213,0.62639046,18.994796979992767,45,70.28412777283086,18.994796979992767,5.742698630175781,15.11824261289881,2.066958325091453,0.8547658640996747,-0.3882930511253932,0.4076257541955574,85,2000,72,22.22222222222222,10,11.657880289293855,2000,0.005441938992589712,14.052283062133938,5.13915896601975,1.0918010580353439,0.01117158168926835,7.790106972679496,0.014560451731085777,15.442603895440698,4.209298640489578e-05,1.0,-0.0,-0.90533257,-1.9785912,-2.8013883,0.38416976,-1.9779904,4.8746567,2.7992415,0.0322063,0.7424967,0.0025437013,0.0005835396,-0.0010190324,0.00056110043,0.0013990147,-0.0005773102,-0.004807315,0.0008306053,8.383861,8.390175,1000,0.000667212,-6.834246e-05,-0.0009902851,0.00020176012,0.001912314,0.00020904111,-0.0013013602,0.00075138215,1.0019141,1.0002093,0.9986995,0.00075162516
1,1,0.25171754,0.19122727,0.1082263,0.036676522,66.6064285801942,122,69.31183366935237,66.6064285801942,63.30909550062484,1.2364292181839953,2.3602636390497254,1.6356651140868945,0.9942501118013686,0.4335870492858769,154,9942,42,40.721311475409834,39,0.6306683298908639,0.99730814,0.14365135,-0.98729455,0.58026296,110.10992805725014,14,235.9413855931318,110.10992805725014,34.19254607219183,49.794658732144,3.563919106019498,1.541538992801502,0.44086492279524275,0.6139002061357285,99,3000,141,71.42857142857143,38,28.499910490371434,3000,0.0038254358805716038,12.096423072274774,3.228883126284927,0.8807680741883814,0.011921839788556099,7.960279182065278,0.01070317905396223,27.871277172584087,4.223501309752464e-05,0.7424035668373108,-1.4353621006011963,-0.20319748,-1.8188784,-3.479208,0.5928055,-12.726728,20.518383,11.162904,-0.48421517,3.2476919,20.595884,11.2324505,0.32594767,3.2892234,20.678549,11.242842,0.31761652,3.3166487,2.9197507,2.9490151,2000,0.6372459,0.25338507,-0.03620863,0.11586476,-0.055945747,-0.14108418,-0.24499187,0.037581563,0.94559044,0.86902505,0.7827109,0.03230201
2,2,0.78400195,0.24804857,-0.33109322,0.22645587,160.0638129449903,63,165.62300747657733,160.0638129449903,153.9141519531682,2.641049821419061,3.195814630903472,2.031430341566154,0.9966432264344489,0.5316502317797087,217,14906,80,78.7936507936508,77,0.6937070915368939,0.9980126,0.21986865,-0.99471915,0.5595875,104.09243737759795,18,164.47867298006435,104.09243737759795,32.5981729988091,40.693395755348924,3.5165513791716507,1.8736638727967632,0.8600707409662559,0.5130041099855841,117,4000,79,55.55555555555556,22,18.442771008423215,4000,0.0038307011127471924,11.620176168624312,3.1871473528444767,0.8749418719671667,0.010808680206537247,7.532322370447218,0.011080482974648476,39.807678492274135,4.470907151699066e-05,0.559378445148468,-2.4015564918518066,2.53354,-1.1339924,-5.46983,1.193474,-23.773342,35.972477,22.294868,0.053942658,6.649209,35.269234,22.212042,0.13050672,6.269018,35.43581,22.089306,0.07278452,6.1986527,3.4870129,3.5914125,3000,0.9461495,0.3698351,-0.47908548,0.29943943,0.09432147,-0.31645316,-0.80688894,0.13551569,1.098913,0.735296,0.4462442,0.0967323
3,3,0.9424213,0.117714666,-0.65020704,0.32503816,200.31194351134351,48,204.53696008367157,200.31194351134351,196.4464944238674,1.980324075340264,2.567184440736407,1.9459569497155407,0.9879678704667154,0.3826606062582824,265,19847,106,102.9375,100,1.4635323991402902,0.9980832,0.109331116,-0.9964972,0.54623085,197.0423638991944,10,229.58857676727956,197.0423638991944,112.02738041134538,32.022989019162,3.1469151018536974,1.9704236389919443,0.8647542169182225,0.4515989238213758,127,5000,120,100.0,66,14.587666023048376,5000,0.003952754195779562,12.921554238069803,3.6149713448248804,1.034407211933285,0.01029319316148758,8.244785170070827,0.013102889992296696,53.07495987974107,4.167389124631882e-05,0.4304438829421997,-2.988283634185791,4.7343254,-0.5450799,-5.073558,1.603028,-36.21788,49.50595,34.718815,-0.024528919,7.7755284,49.362404,34.64483,5.0444684,7.741828,49.10952,34.651024,5.313481,7.811081,3.2773285,3.3444815,4000,0.9730272,0.18477874,-0.96213067,0.53310734,0.0405207,-0.46953312,-0.9879861,0.17058194,1.0413529,0.6342402,0.37232578,0.10559007
4,4,0.9044717,0.22370651,-0.75210047,0.35697594,203.6493795790823,54,206.94941879542912,203.6493795790823,201.05451830083703,1.503064647234329,3.1483631774577683,2.218044876415984,1.0058332008187683,0.6440514714225152,319,24805,93,91.81481481481481,91,0.6687211142691774,0.99816084,0.19694029,-0.9865715,0.54593587,201.44825034558016,11,218.6498613400891,201.44825034558016,139.19057715566697,21.6166418595218,3.2890107892229037,2.215930753801382,0.8267450353530214,0.6497314247567337,138,6000,96,90.9090909090909,70,7.14084977696563,6000,0.003986523952335119,12.09254760760814,3.128912498243153,0.9064686638303101,0.010432125069200993,8.03231497714296,0.010391827672719955,65.49129588296637,4.099169746041298e-05,0.33630332350730896,-3.3914332389831543,6.396702,-0.112143904,-5.871554,1.9008181,-47.619534,73.133385,46.149216,-0.2925466,11.519977,71.901855,45.573692,0.025402924,10.907472,71.70917,45.627205,0.02404689,10.906943,11.398729,11.901394,5000,0.98564565,0.276422,-0.9897382,0.55594295,0.11976016,-0.48865882,-1.3337348,0.244246,1.1272265,0.6307626,0.26349136,0.14151266
5,5,0.93151647,0.052549083,-0.85351527,0.27163434,221.64507978473472,49,224.31076946666204,221.64507978473472,218.90551525774325,1.395402000922621,2.826730652294604,2.194062405949899,0.996530201768317,0.5377984198299935,368,29755,102,101.0204081632653,100,0.6223653339582411,0.997841,0.029999651,-0.99450135,0.52801526,217.8870592790749,10,242.29186886599106,217.8870592790749,138.50647745608225,27.83551143750906,3.010213705657972,2.1788705927907484,0.8849868811792235,0.5565370818389955,148,7000,111,100.0,71,10.421132376090421,7000,0.003785876091569662,11.623964633326977,3.1644788668490946,0.878263486083597,0.010267115198075771,7.555990731343627,0.01113381702452898,77.42998356558383,4.474073648452759e-05,0.2640707790851593,-3.2410218715667725,10.01706,0.56595635,-4.470494,2.299877,-59.371376,84.50979,57.05063,0.23460425,14.827987,88.12469,57.13964,0.639409,14.297179,86.00827,56.99012,0.23259424,14.306744,11.716641,12.110316,6000,0.9936235,0.20721142,-0.99733335,0.59805125,0.1471641,-0.57694227,-1.6922995,0.2982023,1.1585441,0.58457166,0.18409571,0.15462823
6,6,0.97129196,0.1945805,-0.9533809,0.47568652,207.6572915739178,52,212.07647648926846,207.6572915739178,204.6496385406936,1.8219321928815957,3.119546402906192,2.1978789256754987,0.8188216372604581,0.6071998271330357,420,34668,96,94.48076923076923,94,0.5714483830039856,0.9993247,0.15136363,-0.99563235,0.587337,200.00389340012944,11,229.0664884233163,200.00389340012944,54.795561443185875,46.5745783787184,3.2312406818618036,2.2000428274014245,0.7530269872112842,0.6154463653548379,159,8000,102,90.9090909090909,33,18.475805040669446,8000,0.0037176660262048244,11.811635077465326,3.1944874208420515,0.908025817014277,0.010003441013395786,7.684998658485711,0.01035076193511486,89.56652560131624,5.1312148571014404e-05,0.21053026616573334,-2.7940750122070312,10.002532,1.2067719,-7.347539,2.4077106,-72.168915,111.855896,69.89486,-0.23016919,16.252522,109.573006,70.037476,0.026337558,15.251536,111.237076,70.17281,0.024463989,15.162145,17.68514,17.527704,7000,0.99664855,0.14688943,-0.98834133,0.6876819,0.04070808,-0.64925593,-1.809999,0.32655162,1.041548,0.5476458,0.1636543,0.15302378
7,7,0.9999321,0.017864743,-0.9988648,0.48311886,394.72303082843865,24,413.4762299028383,394.72303082843865,364.55359860135087,12.159514839978707,3.54599034260251,1.908026735122362,0.525897963247231,0.6688867148730518,444,39633,217,206.875,191,7.8756613478911515,0.99952585,0.016070444,-0.9997881,0.55928445,296.40316562755964,7,408.10168613449736,296.40316562755964,59.07512281862452,103.19637769649724,3.6266471647911303,2.0748221593929173,0.661963124812265,0.6304533485221168,166,9000,207,142.85714285714286,39,47.956613044437134,9000,0.0037089833058416843,11.679868284147233,3.151865159161389,0.8985640527680516,0.009464083705097437,7.605933704413474,0.010289937723428011,101.57612365623936,4.236306995153427e-05,0.16961899399757385,-2.1290829181671143,10.3690405,1.7999761,-4.347619,2.6623425,-82.75639,144.57916,80.52016,0.543057,21.732018,144.0579,80.12285,6.7591596,21.555777,152.47682,80.486435,5.9670043,21.52209,13.918739,15.013244,8000,0.9974363,0.018204331,-0.9978768,0.7035133,0.011419882,-0.8318742,-2.222433,0.33303398,1.0114853,0.4572108,0.10834518,0.13209926
8,8,0.999773,0.025145723,-0.99890506,0.5296098,319.7347203704113,32,353.55391468329293,319.7347203704113,294.2267097608262,21.79463795146474,3.9700303754426463,2.1061159019870654,0.6115363390252929,0.6225234815013891,476,44491,162,151.8125,144,4.952508833914383,0.9999867,0.055398803,-0.999936,0.6069756,296.3596176365076,7,473.1774749036498,296.3596176365076,19.15942419673908,129.49138594173075,4.17507481093932,2.0745173234555527,0.6059233057077348,0.6591785959465941,173,10000,215,142.85714285714286,18,58.13390594488008,10000,0.0037052370607852936,11.661202879622579,3.1239032009616494,0.8816529554314911,0.01014633383601904,7.631256393622607,0.010496781673282385,113.56200500624254,4.1977036744356155e-05,0.1476467102766037,0.12881876528263092,15.141151,3.0673409,-4.751722,3.0955176,-95.291824,174.40604,92.23643,-0.033081435,27.715513,173.99799,92.5477,0.031195035,27.118872,179.98474,92.57654,0.02940266,27.16911,36.362366,37.917107,9000,0.9988676,0.012231897,-0.9994074,0.7681807,0.24332353,-0.9159077,-1.9509542,0.31493634,1.2754812,0.41959298,0.14213838,0.12778132
9,9,0.99723905,0.03724292,-0.9999808,0.5822687,545.5231974419004,24,847.5442978089072,545.5231974419004,325.7840367959672,155.85318456213773,4.583083389745998,2.639096298852169,0.7771788787493837,0.7221275700905091,500,49452,281,206.70833333333334,139,47.417893217879495,0.99970406,0.006460432,-0.99999976,0.63003117,363.62896109942596,7,565.3064763673725,363.62896109942596,17.29040463384751,182.50342582459947,4.612772141828639,2.545402727695981,0.7564441279840273,0.8504780763350965,180,11000,199,142.85714285714286,14,60.02482479638516,11000,0.004104018677026033,11.189917895942926,3.116574371699244,0.9108385103754699,0.009839791804552078,7.138658588286489,0.009860583115369081,125.0609628977254,4.203198477625847e-05,0.13009817898273468,-0.45562708377838135,19.962687,2.776595,-5.886212,2.9878228,-107.48476,258.94177,106.36434,-0.28462747,36.90017,264.20816,105.53189,0.036491446,37.31994,256.34064,105.52771,0.034839552,37.1533,33.67434,30.872406,10000,0.9998319,-0.012214505,-0.9999556,0.7120651,0.47736752,-0.9672404,-2.2639697,0.40730238,1.6118257,0.414042,0.10393707,0.18604802
