Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.00014834137,-5.487009e-05,-0.00084587344,0.00013300742,160.24460949427217,29,408.88216850799,160.24460949427217,99.28092025444032,55.90150625867936,2.4402656546284787,0.9544246611899552,0.36886527669510494,0.19011876807110933,29,4869,310,167.89655172413794,113,35.510411127642854,0.99663115,-0.007196572,-0.99911463,0.6255385,11.98908631548434,56,79.0123647447077,11.98908631548434,0.7853175725400212,16.103223133937,2.3984381979921925,0.6713888336671231,-1.3892853466230042,0.5915607349022349,113,2000,60,17.857142857142858,7,11.19219844902908,2000,0.0037796611431986094,13.055445787962526,4.795181852998212,0.9079862190410495,0.011279895901679993,7.323491078102961,0.01367411995306611,14.136139290872961,5.2960822358727455e-05,1.0,-0.0,-0.85869837,-1.9945637,-3.311534,0.39416283,-1.9941652,5.030097,2.4855456,-1.563099,0.9324377,0.0009832152,-0.00044469596,-0.0030235455,0.000635161,0.0046907365,0.0011592668,-0.0013579972,0.0010772002,7.0495243,7.0423193,1000,0.00038751392,-0.00027485864,-0.0017966476,0.00034196096,0.0024351012,0.0006613494,-0.00019540312,0.00043902526,1.0024381,1.0006616,0.9998046,0.0004393643
1,1,0.5004927,0.3797828,0.23287237,0.08201157,53.89019135753721,168,56.69662381734564,53.89019135753721,51.629276444558265,1.134392651208224,2.8556047812861007,1.8110726441420792,0.9953561500797713,0.6178292942414348,197,9868,31,29.75595238095238,29,0.4431626570341517,0.9976977,0.23462614,-0.99632,0.56022537,64.24528328796545,22,165.50266428498176,64.24528328796545,2.4232281452909357,35.979840321697694,3.6614620176368113,1.4133962323352398,-1.285279925902785,0.7582382533529497,135,3000,138,45.45454545454545,6,26.26564862173902,3000,0.005094274878501892,11.369042796781287,3.235752262175083,1.0407445731107146,0.014448866015300155,7.061807688558474,0.011150602018460631,25.805098440265283,4.4530024752020836e-05,0.7449964284896851,-1.3481547832489014,0.7608824,-1.5797057,-6.035108,0.94445014,-11.889688,21.781912,10.041256,-0.8471098,4.536261,22.984606,10.096906,-0.7172544,4.5012493,22.987986,10.163229,0.03757967,4.506199,0.69201255,0.73574024,2000,0.78290206,0.39847478,0.1261316,0.14533329,-0.025076581,-0.18237562,-0.3804655,0.06591374,0.9752352,0.8351083,0.68354315,0.05542959
2,2,0.7184236,0.27219844,-0.15656346,0.2527268,205.79910761204155,58,208.4226396659522,205.79910761204155,203.09223916666912,1.1209380342177173,3.396192134521562,2.4201841527774555,1.003778668288886,0.6916961755189478,255,14800,86,85.03448275862068,84,0.49009208288109984,0.99286705,0.21490884,-0.9954191,0.54220086,199.9081777623311,12,211.51392672303567,199.9081777623311,183.1681345580976,7.408686353906248,3.6032485333161457,2.3988981331479726,0.8711415131242956,0.696731835271746,147,4000,88,83.33333333333333,79,2.3570226039551585,4000,0.0038576899096369743,10.977503107627854,3.1588318350259215,0.8952120589092374,0.01071315910667181,6.893673419719562,0.01517151901498437,37.07670976012014,4.3425941839814186e-05,0.5672422051429749,-2.1396889686584473,5.1481647,-0.7739091,-4.1206703,1.6826864,-20.523418,31.321348,19.49099,-1.1424471,7.043641,31.548822,18.978134,-1.7755514,7.6549935,31.99254,18.647007,-0.36564592,8.043619,4.751145,8.557201,3000,0.9592129,0.4640105,-0.8095816,0.3413086,0.1452279,-0.39054847,-0.6752989,0.13450387,1.156303,0.68289775,0.50900424,0.09366336
3,3,0.8377579,0.15870498,-0.43750164,0.28209507,196.44459736695322,60,201.4602823345711,196.44459736695322,192.02342024653748,1.9672610654380107,3.257781105135156,2.386933139331145,1.0094249413293976,0.6783173758576706,315,19738,84,82.3,81,0.6658328118479394,0.9940455,0.13477589,-0.99849594,0.5370316,179.0144085868381,13,200.7442376313147,179.0144085868381,80.16686694473037,29.67768370623818,3.725403508031169,2.3271873116288955,0.7379128019799661,0.6850534104980152,160,5000,83,76.92307692307692,44,9.87196137055728,5000,0.0036969908978790045,10.95540716079995,3.143451133975759,0.8843140809331089,0.010837570996955037,6.90283016115427,0.010231240885332227,48.324693308910355,4.598195664584637e-05,0.4375894069671631,-2.747659683227539,5.8672533,-0.3245554,-5.2384906,1.8498591,-33.10114,45.1176,31.215025,-1.6056865,9.16648,47.56191,31.183395,-0.17225519,8.891605,47.95378,31.01469,-0.22048226,8.900864,6.971206,6.8124204,4000,0.9749014,0.37111247,-0.96500814,0.45659825,0.05353405,-0.4830742,-1.0349922,0.17941394,1.0549929,0.62706417,0.35522917,0.11606907
4,4,0.99053454,0.32057455,-0.8357713,0.396345,156.23187881227784,67,161.79974053089902,156.23187881227784,151.9858502294076,1.985384533653295,3.194477412619323,2.1167918868397604,0.7346541905221765,0.5334530975043729,382,24683,76,73.80597014925372,72,1.1095085098534805,0.9993079,0.29225788,-0.9911202,0.5567837,152.44610154625133,14,177.5847268653388,152.44610154625133,47.63219743594996,30.14854209952723,3.253515674632249,2.134245421647518,0.635133328978887,0.5563514663235205,174,6000,80,71.42857142857143,25,13.189358728667191,6000,0.0037054349668323994,11.044965702109039,3.1379642749670893,0.8895347788929939,0.011138694128021598,6.992397849215195,0.010180254932492971,59.66177964094095,4.4415006414055824e-05,0.3384242355823517,-2.7432384490966797,8.707788,0.46806413,-4.985772,2.2815118,-43.782112,65.71062,41.52736,-1.3892853,12.0780735,69.62797,41.4751,-2.134355,12.212634,68.27236,41.395428,-1.3601491,12.235616,5.408083,4.5624256,5000,0.9894706,0.436402,-0.97659534,0.5063029,0.5911777,-0.5021232,-1.0795847,0.2131497,1.8061142,0.6196504,0.33973658,0.14241536
5,5,0.93740565,0.24266255,-0.8786913,0.44349614,184.47490882756898,64,186.5442565811852,184.47490882756898,182.62721170956183,1.2568675972744143,3.379000920431339,2.3812815984196076,0.6165978118803656,0.7488366681427907,446,29641,78,77.46875,77,0.4990224819584785,0.99820656,0.20550984,-0.99935097,0.575868,182.85569555419423,13,202.6401394646005,182.85569555419423,122.87357566225523,18.664872775734676,3.4638076866906364,2.3771240422045254,0.4403234215815621,0.7478913702352148,187,7000,83,76.92307692307692,58,5.797367286589775,7000,0.004248296143487096,11.04235964291729,3.1128359779249877,0.8842525200452656,0.01056881109252572,7.019731821492314,0.010680446168407798,71.00063013285398,4.1770050302147865e-05,0.26275843381881714,-3.1192235946655273,11.044199,0.6661606,-4.9403434,2.1212075,-52.91217,82.023254,51.495987,-0.2225101,13.2682705,85.100365,50.99603,1.3566842,13.418837,85.648445,51.10605,-0.6277258,13.461913,7.6902742,6.8532352,6000,0.9953337,0.2563332,-0.9897858,0.61033845,0.3346917,-0.58463913,-1.1836674,0.25533038,1.3975095,0.5764921,0.30615386,0.1585551
6,6,0.9532088,0.24747452,-0.96339357,0.47230545,187.00312161781696,63,188.60597611151044,187.00312161781696,185.0988376599045,1.1469277332899819,3.350022232983584,2.380039729681306,0.38650274488991965,0.7521864457313743,509,34591,79,78.57142857142857,78,0.4948716593053934,0.9998177,0.20727852,-0.9976493,0.5956719,181.7764618218034,13,205.32970802422372,181.7764618218034,97.32308260567703,25.49335854627187,3.4315178815059695,2.363094003683444,0.3005584332319727,0.7604914994027503,200,8000,84,76.92307692307692,50,8.052343552431834,8000,0.00536681991070509,11.707863995805383,3.696680603083223,1.05716367601417,0.011031001107767224,6.928653201786801,0.008925325004383922,83.00199550646357,4.336889833211899e-05,0.20773665606975555,-3.207566976547241,9.18326,0.95889306,-4.7894773,2.1869545,-63.464596,88.77918,62.022087,-0.5173279,15.92722,91.86937,61.134895,3.5002375,15.253173,95.24367,61.5239,3.214845,15.313971,10.866019,8.8473835,7000,0.99640906,0.03862698,-0.991427,0.6801255,0.5002137,-0.6839363,-1.4466994,0.3083669,1.6490736,0.53097916,0.23534578,0.1875737
7,7,0.9937879,0.077309825,-0.9711639,0.39058384,212.49997092837188,56,219.3521176300468,212.49997092837188,207.60768125299467,2.9665620471371117,3.75788541179759,2.393402729683996,0.43598521429132076,0.795331257497019,565,39563,94,88.78571428571429,85,2.690686885976766,0.99940324,0.06038929,-0.99074924,0.5170235,206.92651794017954,11,233.12063740802373,206.92651794017954,81.33075883492164,40.497175318012175,3.5606983876143556,2.2761916973419747,0.28108689578998736,0.7295325589256116,211,9000,109,90.9090909090909,46,16.05362913065027,9000,0.003857488976791501,11.062624404672533,3.0931909908540547,0.8946891250088811,0.010512006003409624,7.047300013946369,0.013029338791966438,94.36441175825894,4.544109106063843e-05,0.16764527559280396,-2.419140338897705,12.61242,1.6454262,-3.7516572,2.4171178,-72.87215,116.05488,70.4045,-0.16375324,23.012442,116.44747,70.754974,1.1738306,23.065088,117.768456,70.98811,0.021227289,23.127115,20.794857,19.549728,8000,0.9992095,0.0926199,-0.99956375,0.66551095,0.37029523,-0.8548269,-2.068597,0.36318064,1.4481621,0.45565796,0.12636293,0.18301386
8,8,0.9675523,-0.03345054,-0.9688053,0.27949494,293.5076798122757,25,300.5793196797211,293.5076798122757,285.1817292882376,3.971998824461471,2.3598132890588555,1.4802687099670957,0.5281837496878055,0.2860163092703667,590,44520,204,198.28,192,3.2682717145304796,0.9985765,-0.03308227,-0.9794993,0.4671207,236.98873235588354,7,281.3992088426893,236.98873235588354,60.33684599721841,73.32818028340017,2.590429098638795,1.6589211264911854,0.42816115272876626,0.3567215461298416,218,10000,181,142.85714285714286,39,46.2182047355757,10000,0.003988519078120589,11.09327617730014,3.1063652799930423,0.8872151509858668,0.010705776046961546,7.076279733097181,0.008675660006701946,105.76067973603494,4.605809226632118e-05,0.14042380452156067,-1.7475171089172363,15.288808,2.1098132,-6.37944,3.362666,-79.59636,120.083176,78.48126,-4.367282,24.207174,122.519875,78.119194,-6.311663,24.33883,123.27558,77.99039,-2.6838915,24.409544,11.1678505,9.939272,9000,0.9998177,0.09083063,-0.9988383,0.6577898,0.8571566,-0.9127584,-1.9690094,0.4532086,2.3564508,0.44826487,0.13959508,0.2392683
9,9,0.967658,-0.031741377,-0.984099,0.22448151,275.9602534341488,36,298.79983824973823,275.9602534341488,257.1858624440007,11.599371315113942,2.794829501862165,2.0237460019615723,0.4082797694868483,0.45638945173146545,626,49429,150,136.36111111111111,124,7.23476474998699,0.9958447,-0.027285345,-0.99539226,0.46121204,231.0114581424499,9,257.468220479354,231.0114581424499,101.91358789478372,46.09737649313539,2.9055406412523435,2.07910312328205,0.3832375064443491,0.5131435983825067,227,11000,125,111.11111111111111,55,20.371245772435906,11000,0.0037327168975025415,11.054374045925215,3.1890345241408795,0.9093105411157012,0.011625391896814108,6.927861284697428,0.012771966168656945,117.11441329843365,3.762100823223591e-05,0.1272256076335907,-1.0882422924041748,15.477529,2.4721866,-5.9889154,2.9008048,-88.874435,124.94679,85.90584,0.3353939,29.85017,127.174164,86.52842,5.1867127,29.048153,126.371704,86.75496,5.030716,29.148855,40.12695,54.44577,10000,0.9998633,-0.069062054,-0.9970681,0.6752672,0.6779582,-1.0285441,-2.095697,0.456071,1.9698516,0.39831075,0.122984506,0.20230561
