Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.0018801823,-2.4065894e-06,-0.0029620652,0.0005552837,103.1183361583758,41,159.94847484850803,103.1183361583758,87.11795754376007,15.262355468960182,1.009108509164803,0.8537665150430951,-1.2052732633952843,0.2548326267286516,41,4952,236,120.78048780487805,95,29.843912804278254,0.998892,0.020817365,-0.9970875,0.6228011,2.077422788220426,49,20.937041209994128,2.077422788220426,-8.957413911867622,5.8456329144889185,1.8958431970888145,0.10179371662280087,-1.264111012589731,0.5590870138769368,104,2000,35,20.408163265306122,4,7.4338398003606505,2000,0.004119303077459335,14.005941200535744,5.046412212308496,0.9357768576592207,0.0147587601095438,7.992315888404846,0.01250799372792244,15.229046904947609,5.0185248255729675e-05,1.0,-0.0,-2.4082394,-3.9833376,-5.3148518,0.53507704,-3.9796195,6.292221,3.7039776,-1.2057769,1.3244523,0.007798792,-0.003678753,-0.012064639,0.0040472457,0.013109865,0.0033208558,-0.0046300446,0.0035037303,15.497709,15.451728,1000,0.004648201,-0.00013498863,-0.007825873,0.0024069098,0.0056288075,0.00033029355,-0.005282262,0.0018530181,1.0056447,1.000332,0.99473166,0.0018536515
1,1,0.4573167,0.2557283,-0.16151032,0.18598384,39.24873492383557,32,50.88949525048216,39.24873492383557,32.11691870942684,4.479198440037609,1.1627487557062586,0.25331978974641756,-1.219541016377462,0.6813573899242255,73,9910,167,154.9375,147,4.89858078937155,0.9994796,0.155945,-0.99443173,0.59818715,15.142571466859367,11,240.17664356856983,15.142571466859367,-48.21879289725446,73.62098974673108,3.7085583572747276,0.16656828613545285,-2.565457775742635,1.0641260217956119,115,3000,157,90.9090909090909,35,35.897466472908,3000,0.00507021602243185,12.516909380443394,3.7111465730704367,1.0175329563207924,0.012644037138670683,7.759825453162193,0.010645063128322363,28.104084354825318,4.508160054683685e-05,0.7430484890937805,-2.820996046066284,-0.7998133,-3.4984958,-6.767181,1.0918458,-16.032488,24.906689,12.982782,-0.5725302,4.5080786,25.289907,13.077211,0.10528882,4.4693556,24.640867,13.021571,0.38453773,4.386568,1.7123454,1.65822,2000,0.6490085,0.2540083,-0.2901767,0.21733567,-0.031312685,-0.11776178,-0.24020351,0.042743172,0.9691725,0.88971615,0.7864678,0.03775038
2,2,0.73172444,0.4003618,-0.035467397,0.19647653,305.9790458016412,27,326.43233625730795,305.9790458016412,288.06528169307865,9.21710881174579,3.5169207565517406,1.659589039100906,0.9766689198883978,0.7107056355390176,100,14888,205,184.37037037037038,167,8.769256686047498,0.99559104,0.2823673,-0.9957216,0.5652445,51.24184097491301,6,154.70554162218522,51.24184097491301,4.825204974345706,50.26553817009513,1.9000722641263914,0.3074510458494782,-2.076820811833493,0.8231222077331389,121,4000,251,166.66666666666666,106,44.86894496444308,4000,0.004737258888781071,12.501076731830835,3.675084747839719,0.9732800689525902,0.012729478999972343,7.82637763209641,0.008757044095546007,40.9512599920854,0.00011050095781683922,0.5632700324058533,-4.763690948486328,2.0540195,-2.2991686,-8.282589,1.8340816,-27.176298,47.337902,23.941786,0.1543901,8.172269,48.752357,24.019547,0.9975761,8.288817,48.938988,24.134956,0.979592,8.336248,2.2250276,1.9332528,3000,0.9489923,0.4512557,-0.5281456,0.2659784,0.015680587,-0.21283405,-0.6040783,0.11139717,1.0158042,0.8131847,0.546578,0.08714944
3,3,0.751836,0.2696655,-0.38751686,0.24077174,290.92542074474954,30,299.1765461685757,290.92542074474954,282.78415460812323,3.830121710018441,3.3045252444461415,1.7494012071241705,0.6198465801702463,0.7002458970047182,130,19877,174,166.3,159,3.3080709383768263,0.99675006,0.29673994,-0.9914638,0.5552613,902.5783410232358,1,902.5783410232358,902.5783410232358,902.5783410232358,0.0,2.442840912575567,0.9025783410232365,-0.6031040685578628,0.48705923334316825,122,5000,1000,1000.0,1000,0.0,5000,0.004668590147048235,12.454334263689816,3.649757614824921,0.9655374838039279,0.011846818029880524,7.813636649865657,0.0088302050717175,53.75628482690081,5.6901946663856506e-05,0.4316985309123993,-5.666158199310303,7.2528768,-0.7452032,-7.254119,2.704288,-39.89175,63.91293,36.654015,-1.4177967,11.094833,65.24084,36.707,-1.0375569,11.034618,64.38489,36.705147,-1.4176366,10.89206,5.4760528,5.1330442,4000,0.9816699,0.4670297,-0.8388299,0.39981362,0.02662331,-0.2878207,-0.71977806,0.13318282,1.0269809,0.7564238,0.4868603,0.097606644
4,4,0.9329847,0.057976466,-0.88134986,0.30528772,340.9731728464976,23,448.13288795268437,340.9731728464976,111.85370997344268,67.51182151622027,3.8688875120029604,1.621667281941573,-0.05381661106688943,0.7419613473820882,153,24713,280,210.2608695652174,156,32.18184391088749,0.997848,0.1879812,-0.9973504,0.6082455,194.28044920951507,3,501.3781754070802,194.28044920951507,-1.7550645358337695,219.9043361099691,2.811008974636922,0.5828413476285449,-1.7699267952857307,0.7420787235250343,125,6000,584,333.3333333333333,203,177.29510866224018,6000,0.004116240888834,12.353794296272099,3.588656547944993,0.9717371971346438,0.012397394981235266,7.766385765746236,0.01045705797150731,66.47254235949367,4.40916046500206e-05,0.3277921974658966,-7.575170993804932,10.525023,-0.791589,-7.890586,3.2429724,-47.844467,71.99017,45.08513,-0.45544556,13.171639,74.03154,45.185204,-2.6968894,13.0292225,72.08919,45.08827,-1.685833,13.263365,8.887276,8.753693,5000,0.99151945,0.21594572,-0.9874385,0.56662047,0.15461269,-0.34875956,-0.9496193,0.17199886,1.1672058,0.7158293,0.3868883,0.11973427
5,5,0.9988609,0.18491186,-0.9942553,0.5259768,197.87547163255047,37,347.6870405928414,197.87547163255047,146.7648001538662,36.1678983546031,4.852690413419,1.4923343763563734,-0.28920257426742707,0.8249713875178555,190,29619,274,132.59459459459458,98,29.01207526741465,0.9998788,0.19636436,-0.999891,0.64261734,159.7499852553703,4,334.2013761590286,159.7499852553703,27.954398767806456,112.79059368394546,4.235454855494387,0.6389999410214813,-1.535351230428671,0.9508127341313137,129,7000,468,250.0,33,154.93385685511092,7000,0.004533730912953615,12.14049579249695,3.5189570649527013,0.9511510636657476,0.01339520188048482,7.643282107077539,0.009129961021244526,78.95313647668809,4.6662986278533936e-05,0.2491009384393692,-9.055357933044434,9.896839,-0.5151281,-8.038921,2.8676186,-53.73962,99.851036,52.293823,-4.996219,14.628297,106.10348,51.90661,-4.0224686,14.367641,106.07499,51.90826,-2.9341638,14.205071,9.296027,7.6591296,6000,0.9922958,0.22010942,-0.99292636,0.57734144,0.29099193,-0.314106,-1.1043196,0.20594211,1.3377538,0.745372,0.33143634,0.14529686
6,6,0.99828786,0.16754253,-0.99899125,0.5892798,109.19136744238698,23,332.1011810967306,109.19136744238698,-77.2447387881984,117.42216707071415,5.21471563845118,0.5031860250801242,-2.8684750062689393,1.133924280434654,213,34610,789,217.0,90,141.4551703452062,0.9997802,0.13668367,-0.9998694,0.6797728,137.1574257205158,6,264.8657488999469,137.1574257205158,-2.121243847208862,92.90508303702997,5.006208529630815,0.8229445543230949,-2.4987912885528503,1.1955772678949537,135,8000,316,166.66666666666666,86,79.48095509128098,8000,0.004514666739851236,12.063229306600988,3.4391915849409997,0.9466999908909202,0.01185288280248642,7.651783504988998,0.009136714041233063,91.35742006450891,4.996219649910927e-05,0.19014118611812592,-9.10374641418457,13.925412,0.515777,-10.379797,3.519092,-60.078735,119.03673,58.227997,-7.9180856,20.619879,116.74989,58.260616,-5.680643,20.17412,119.02896,57.903873,-6.927873,20.24196,17.707832,18.74678,7000,0.9967987,0.15818934,-0.99864763,0.6255298,0.18511939,-0.4303663,-1.501748,0.21731305,1.2033621,0.664932,0.22274047,0.13563605
7,7,0.9996321,0.13571554,-0.998596,0.58455515,74.68688807454599,36,368.46105624590047,74.68688807454599,7.314358361369077,78.89181124233993,5.027240110711572,0.5423009218805277,-2.571584159785492,1.0514178885116747,249,39568,314,137.72222222222223,91,35.99121120427343,0.9999348,0.12322386,-0.99977404,0.6637759,51.73499660878719,8,351.7266469331383,51.73499660878719,-52.904572459509744,116.9718323331729,7.060421697603579,0.4138799728702975,-2.141958827507842,1.1543098432683718,143,9000,250,125.0,18,69.45322166753678,9000,0.004075479228049517,12.059497918467969,3.4622556972317398,0.9401396168395877,0.011274090968072414,7.633257023990154,0.00845118286088109,103.75793603342026,4.482734948396683e-05,0.147542342543602,-7.703460216522217,18.007082,1.9744469,-7.4466715,3.475884,-68.17881,144.4162,66.38894,-1.6666988,25.673063,153.07162,66.54268,-0.8696258,26.26999,148.92268,66.74382,-0.687835,26.364408,34.74405,24.189804,8000,0.99962014,0.031682335,-0.9986888,0.6648001,0.07576784,-0.6360957,-1.9335026,0.28518125,1.0787121,0.54946756,0.1446407,0.14268427
8,8,0.9999844,0.17402133,-0.99983084,0.5752988,212.28780450795924,25,736.2730295986561,212.28780450795924,19.977158638508826,135.10393025177558,7.042626898877639,1.0723772707009458,-1.4783807202635353,1.0997475461043948,274,44517,641,197.96,100,113.07607350805917,0.99997014,0.20920947,-0.9991516,0.6333902,148.16007971864528,5,355.72200375752453,148.16007971864528,4.152783021717947,125.13511636508888,5.676993471213672,0.7408003985932264,-1.6020370361518368,1.2493790422067894,148,10000,494,200.0,52,154.2400726140908,10000,0.00405906280502677,11.955001989379525,3.3898991448804736,0.9346756539307535,0.010901009198278189,7.606316464021802,0.009106178767979145,116.05308764101937,4.4475775212049484e-05,0.11801502108573914,-6.163888931274414,25.81226,3.1155581,-7.2897673,4.3517833,-70.59277,145.52736,69.273636,-13.748047,25.860369,146.21913,69.33999,-9.32714,26.070782,146.97154,69.077774,-9.004194,26.078117,19.841057,18.050066,9000,0.99987453,0.1840417,-0.99916404,0.6410919,0.12034461,-0.86697143,-2.3251715,0.33314955,1.1278855,0.44196224,0.097766675,0.13339733
9,9,0.9998523,0.18805394,-0.99994963,0.56371915,114.9425798000105,16,896.4367055697935,114.9425798000105,-67.93034117087315,223.73691169868798,4.072264872939953,0.3749401175943256,-2.0991180690156184,0.9514070656844064,290,49422,1000,306.5625,133,201.27995700950953,0.9999167,0.1936562,-0.9999923,0.6508788,52.29150518140599,5,190.61675553534914,52.29150518140599,-8.39925568966905,70.61307030171731,3.609091169028966,0.2614575259070298,-2.0095829819451,0.9531706769358514,153,11000,302,200.0,80,79.11763393833262,11000,0.0044538890942931175,12.174951463006437,3.4723934871144593,0.9474008050747216,0.010999748017638922,7.731076519470662,0.008585927076637745,128.59956550924107,4.1087158024311066e-05,0.09650524705648422,-3.374783754348755,24.745626,4.5566487,-5.1782694,4.629759,-73.68496,156.96487,70.56643,-8.034481,26.198586,166.32216,71.54509,-9.021291,26.296839,165.22752,71.057785,-7.1756988,26.209623,23.2978,20.832054,10000,0.9995118,0.15362081,-0.99988776,0.68483835,-0.037606988,-0.9025944,-2.363,0.33853942,0.9630914,0.42765906,0.0941374,0.1340837
