Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.002691146,-2.4906703e-05,-0.0023496505,0.00042651984,88.29191879275962,43,106.56619990705308,88.29191879275962,71.32995452878048,9.672704064075806,1.022798931354891,0.7855477980733837,0.1391652097583092,0.2264593678354299,43,4833,138,112.3953488372093,104,7.38363852728236,0.99916965,-0.019328086,-0.9987042,0.6322603,-13.372665471606703,91,2.504424071701427,-13.372665471606703,-22.026897022757264,4.468893297203351,6.48683368213966,-1.2169125579162101,-6.966126521184202,1.97547190208841,178,2000,28,10.989010989010989,1,5.958638581683906,2000,0.004058036953210831,23.169107594061643,4.61437647882849,0.8487407849170268,0.029080922016873956,17.391356989275664,0.28137566102668643,25.648585923248902,0.00011872104369103909,1.0,-0.0,-2.5185604,-4.0303864,-5.381239,0.5509384,-4.0242934,7.9623337,2.4378068,-4.7217026,2.5211806,0.00768103,0.0007888995,-0.0055924286,0.0024959755,0.0033768876,-0.006041722,-0.015869677,0.004178487,12.29546,12.326453,1000,0.0059319627,1.3308309e-05,-0.005436708,0.002053231,0.006514148,0.0013003921,-0.00284749,0.0017556114,1.0065354,1.0013028,0.99715656,0.0017586135
1,1,0.72111154,0.4055597,-0.11446308,0.2491664,10.101092513820962,40,14.704231305061626,10.101092513820962,6.536800357371396,2.051784290282767,1.4823322307648048,0.08093824129664234,-1.323945965083426,0.7709889744663271,83,9825,130,124.8,121,2.3043437243605824,0.9978055,0.32066968,-0.9956355,0.5521848,-24.561509873170714,11,-4.1025185794559516,-24.561509873170714,-49.90033954370921,15.22276186513704,3.2777606022590784,-0.2701766086048779,-3.13658304218819,1.0500465451016312,189,3000,117,90.9090909090909,55,15.84271869147433,3000,0.003919924842193723,21.34653743263334,3.0285162220243365,0.8663380627986044,0.1714373838622123,16.68963502906263,0.5865867929533124,47.77034617587924,0.00010401709005236626,0.75750333070755,-2.1804866790771484,3.7457628,-1.8511763,-8.456665,2.0106628,-18.313889,32.876114,12.349655,-5.8759685,6.5707173,31.254986,13.798153,-5.3623304,6.931002,30.590885,13.768768,-5.1946554,6.92234,8.862231,8.733407,2000,0.9244798,0.4557236,-0.4510427,0.31813604,-0.06263267,-0.25087604,-0.59684557,0.13769722,0.93928844,0.78530866,0.5505456,0.10349546
2,2,0.770074,0.5064229,-0.6414237,0.29558313,1050.3779262277046,5,1050.9234844150458,1050.3779262277046,1049.3945057964859,0.5167821992246402,3.027807689262982,1.0503779262277044,0.5218976948178947,0.25844368441636106,88,14825,1000,1000.0,1000,0.0,0.9982301,0.2997268,-0.99530315,0.5466784,445.1352476987835,2,501.09730423126285,445.1352476987835,389.17319116630415,55.96205653247935,5.174026332658158,0.8902704953975669,-3.0927574827090125,1.0695194098221095,191,4000,708,500.0,292,208.0,4000,0.0037909019738435745,20.89227970945649,2.9586413810029626,0.846555570140481,0.2396708291489631,16.42747083096765,0.41601624013856053,69.69895061641,0.0001339560840278864,0.5694897770881653,-4.33789587020874,4.816924,-1.7047684,-8.897034,2.5378175,-30.484158,45.15342,25.724878,-12.018377,10.7125845,49.337315,26.482443,-5.946406,10.552532,47.57906,26.382256,-4.8062325,10.542759,9.65594,9.487007,3000,0.97637165,0.41921556,-0.85636127,0.3776002,0.045483354,-0.3092196,-0.94532084,0.19634125,1.0465336,0.7477948,0.38855487,0.1397604
3,3,0.8863934,0.24890281,-0.92832667,0.41672614,-29.300971062376007,69,-26.30919502583757,-29.300971062376007,-65.69008372185503,6.32047837413816,1.358109320637138,-0.40926457556760004,-2.6683425165683627,0.5197597748226438,157,19765,119,71.59420289855072,68,7.6600201319970616,0.99749434,0.15099227,-0.99863935,0.63636297,-52.919770397095775,9,4.818058538376129,-52.919770397095775,-90.94712230826985,24.17305079976005,4.826784106257272,-0.47627793357386194,-4.507369655767037,1.3707073035143964,200,5000,161,111.11111111111111,9,41.10810799842139,5000,0.0038542759139090776,20.283555587753654,2.8846133640035987,0.8441975710447878,0.19665953190997243,16.10870542190969,0.24545624991878867,91.09533722582273,6.917305290699005e-05,0.427504301071167,-6.071844100952148,7.8117075,-1.1451032,-6.8196445,2.433601,-37.491364,63.106716,34.788322,-5.1938453,13.004681,54.65976,34.689835,-5.9778023,12.426794,62.109394,34.604824,-4.5929494,12.612262,12.648658,13.794296,4000,0.9890396,0.16247831,-0.9572894,0.55285656,0.18044946,-0.33762157,-1.0565703,0.22375989,1.1977556,0.73089796,0.3476461,0.15618421
4,4,0.9983991,0.21822199,-0.99061507,0.53513193,48.93677112489744,18,526.3331534556032,48.93677112489744,-138.0477404321099,155.39749607912273,12.259317460706427,0.1763134267910635,-7.040032362390118,2.0777188025934907,175,24761,683,277.55555555555554,97,160.7013179169571,0.99968225,0.18775496,-0.9991678,0.6396571,36.77892040344803,5,117.15941728081812,36.77892040344803,-69.88151777554108,67.1580208974443,9.67882147268335,0.18389460201724014,-5.107433767010452,2.172600815276754,205,6000,331,200.0,65,93.05052391040041,6000,0.0038054960314184427,21.677713668206707,2.9124279390089214,0.8291914768051356,0.11027501709759235,17.186958181206137,0.6349614600185305,113.73031499516219,9.40980389714241e-05,0.3221215605735779,-7.280526161193848,10.070356,-0.42686892,-7.463648,3.0572727,-46.253174,75.38954,41.50042,-11.670575,17.068993,73.14114,42.495853,-6.8175707,16.631725,71.46913,42.80277,-5.0847607,16.382341,25.21989,27.245333,5000,0.992805,0.16431935,-0.9771919,0.59119487,0.17651917,-0.3793013,-1.4891592,0.23783825,1.1930573,0.7028129,0.22556221,0.1549961
5,5,0.99886286,0.18546519,-0.99096906,0.526096,159.23108800176428,21,409.85397147179236,159.23108800176428,-34.128904897721235,115.11965112084363,12.006694933595409,0.6914501340026986,-5.42694780784007,2.145502369660873,196,29597,758,230.28571428571428,76,153.2645216788353,0.99991775,0.18495801,-0.99894035,0.63552195,63.77832953974572,7,214.88153489197498,63.77832953974572,-12.58455449728065,73.24948630146866,10.19519078346779,0.4464483067782199,-5.208362648012745,2.347786876413741,212,7000,259,142.85714285714286,3,83.68380722599048,7000,0.0038577690720558167,22.146253798156977,2.801434464054182,0.8211184900719672,0.1551218470558524,17.829891907982528,0.5346991799306124,136.77069698972628,0.00013013998977839947,0.24333973228931427,-9.067444801330566,13.367779,-0.41581106,-7.100522,3.0573332,-44.258316,95.949524,41.25173,-8.943938,20.716036,87.382645,41.34427,-6.331793,20.477217,92.27194,41.643986,-6.9520855,20.477785,10.187276,11.251421,6000,0.99506545,0.2548233,-0.98581654,0.5475304,0.13852179,-0.4427296,-1.8765575,0.3089931,1.1485747,0.670274,0.15311632,0.17785837
6,6,0.9998966,0.3918756,-0.99876845,0.6166511,91.83302655828791,44,1041.784522759169,91.83302655828791,-5.782730268632152,187.34612831290858,9.414600441548734,0.8485201949946806,-5.141572202271045,2.065470761520652,240,34359,1000,108.22727272727273,43,149.9964944493952,0.9999238,0.32776254,-0.99986845,0.6891828,123.10513850089006,9,364.1445234667209,123.10513850089006,-2.465308347115477,119.52010473206094,8.107124407285054,1.1079462465080105,-4.326934884740064,2.273973733892793,221,8000,259,111.11111111111111,18,65.75619015126924,8000,0.0038659339770674706,21.251098199514672,2.9359442950226367,0.8483896618708968,0.18074483517557383,16.960872790543362,0.3212027130648494,159.1044202009216,7.796986028552055e-05,0.18825747072696686,-6.776641845703125,15.425929,1.9419966,-6.4272776,3.8953779,-52.971275,144.95415,51.136826,-11.270027,26.965607,151.59436,51.356445,-9.646901,27.970512,146.3683,51.083824,-5.819626,27.043577,18.734344,15.34087,7000,0.99906766,0.2563893,-0.9913187,0.6341094,0.2675537,-0.53770655,-1.7458628,0.29588512,1.3067638,0.60789573,0.17449437,0.16098703
7,7,0.99987,0.2649931,-0.99806213,0.5923706,56.538876165589556,25,688.6214907966654,56.538876165589556,-104.22866739186013,162.18602181132619,6.76385145105322,0.28434357355456436,-4.083284952252087,1.6257615259787621,265,39330,516,198.84,108,101.27770929479003,0.99973124,0.2644388,-0.998442,0.64495355,49.84615769337237,5,333.7439355864177,49.84615769337237,-58.863403207232686,143.6637272313012,5.97233282757362,0.24923078846686184,-3.556035113840966,1.6325626358268461,226,9000,351,200.0,94,100.93364156712073,9000,0.003794844029471278,21.26646206784062,2.933960098074749,0.8498947080224752,0.05794207099825144,17.165901148691773,0.2548293210566044,181.47187489131466,0.0001398769672960043,0.14996685087680817,-6.804217338562012,17.44441,2.4138145,-6.197597,3.7946892,-54.61886,151.66742,52.156925,-12.601161,28.474905,144.3406,52.16366,-11.815852,28.180145,151.93932,52.379417,-9.53133,28.014261,16.515688,18.323349,8000,0.9959343,0.21453995,-0.99841017,0.662372,-0.024707984,-0.5913842,-1.8566583,0.29669973,0.97559476,0.5757032,0.1561937,0.14666863
8,8,0.9999077,0.31206998,-0.9983304,0.5589667,268.8812517352683,28,444.102871297283,268.8812517352683,64.4839891408874,96.82456605291843,9.505204647151263,1.5503861302692572,-2.9907767064381297,1.1770360759851508,293,44186,275,173.42857142857142,95,52.370540090663134,0.99998206,0.29007056,-0.99875414,0.6249378,224.79286249673436,7,392.7197524830906,224.79286249673436,53.840403907941365,102.5374782810978,7.9652838433366915,1.573550037477141,-2.7099733737912537,1.3178203048876873,233,10000,293,142.85714285714286,41,72.25832343835863,10000,0.0038518239744007587,22.19247779948637,2.8328544730320573,0.8337312289513648,0.13004055200144649,17.96526841376908,0.42658253596164286,204.5310381515883,0.00014877179637551308,0.1199701800942421,-4.91341495513916,16.223373,3.6829112,-5.7589264,3.9401665,-60.404015,165.78143,59.173904,-10.683048,30.498993,160.85925,58.92489,-12.864068,30.551588,164.91763,58.805367,-9.137811,30.260162,16.188759,18.46762,9000,0.99927515,0.34245852,-0.9991857,0.61683184,-0.1178698,-0.7854705,-2.05753,0.31994045,0.88881177,0.47733617,0.12776917,0.13251343
9,9,0.9985327,0.22529414,-0.9947562,0.3183229,549.8138307952938,10,1023.7884903291205,549.8138307952938,181.05196541545686,367.8720089083587,7.837730898592754,1.1385666407026171,-2.648902132896039,0.6907343726154394,303,49015,1000,482.9,100,423.1910797736644,0.9996666,0.29700685,-0.99732673,0.5720696,273.0708488010023,6,453.0509726822175,273.0708488010023,125.35695071468668,121.70059703254879,9.177544098441466,1.6384250928060138,-3.021588116250381,1.518723728441422,239,11000,356,166.66666666666666,75,96.51712571122057,11000,0.0037508339155465364,21.56326272361912,3.0965059618465602,0.9075566790997982,0.12499178503639996,16.94382123160176,0.48650685604661703,226.94872201117687,0.00012937607243657112,0.09771037846803665,-4.021396160125732,17.95597,4.2709236,-3.720418,4.1534176,-62.072773,136.79001,59.162384,-9.543152,28.983583,142.05943,59.967102,-13.9398155,28.362858,139.57123,59.991932,-9.655531,28.331888,32.516098,36.53965,10000,0.9997379,0.35365298,-0.9996068,0.60273594,0.15539871,-0.9396296,-2.781029,0.3847275,1.1681236,0.417142,0.061974704,0.13790637
